UTC Time,Q1,Q2,Q3,Q4
2023-08-10-09:57:00.0000,0.362790860527212,-0.531450477480491, 0.221674050437607, 0.732668954485086,
2023-08-10-09:57:01.0078,0.363213209827355,-0.531575430323647, 0.221806057059516, 0.732329023823889,
2023-08-10-09:57:02.0157,0.363635286595022,-0.531700308668181, 0.221938233136540, 0.731988784598062,
2023-08-10-09:57:03.0235,0.364057089588302,-0.531825112561976, 0.222070577981047, 0.731648237586957,
2023-08-10-09:57:04.0314,0.364478617571561,-0.531949842050878, 0.222203090909890, 0.731307383570863,
2023-08-10-09:57:05.0392,0.364899869311328,-0.532074497181504, 0.222335771238752, 0.730966223332717,
2023-08-10-09:57:06.0470,0.365320843578412,-0.532199077999801, 0.222468618285023, 0.730624757657221,
2023-08-10-09:57:07.0549,0.365741539135658,-0.532323584559437, 0.222601631351051, 0.730282987335953,
2023-08-10-09:57:08.0627,0.366161954766495,-0.532448016902287, 0.222734809763140, 0.729940913155427,
2023-08-10-09:57:09.0705,0.366582089238307,-0.532572375083499, 0.222868152821495, 0.729598535912411,
2023-08-10-09:57:10.0784,0.367001939237552,-0.532696666164860, 0.223001653290973, 0.729255854335235,
2023-08-10-09:57:11.0862,0.367421485793693,-0.532820968245063, 0.223135240659061, 0.728912842493238,
2023-08-10-09:57:12.0941,0.367840756984535,-0.532945199696342, 0.223268993284323, 0.728569521912271,
2023-08-10-09:57:13.1019,0.368259751581242,-0.533069360562281, 0.223402910493547, 0.728225893372417,
2023-08-10-09:57:14.1097,0.368678468342885,-0.533193450897020, 0.223536991592968, 0.727881957662393,
2023-08-10-09:57:15.1176,0.369096906045044,-0.533317470745599, 0.223671235907154, 0.727537715567557,
2023-08-10-09:57:16.1254,0.369515063455303,-0.533441420160827, 0.223805642745686, 0.727193167880182,
2023-08-10-09:57:17.1333,0.369932939351688,-0.533565299190598, 0.223940211428174, 0.726848315391714,
2023-08-10-09:57:18.1411,0.370350532508352,-0.533689107887768, 0.224074941264825, 0.726503158898779,
2023-08-10-09:57:19.1489,0.370767841701734,-0.533812846305924, 0.224209831564788, 0.726157699200591,
2023-08-10-09:57:20.1568,0.371184861816036,-0.533936527782566, 0.224344869234725, 0.725811933152219,
2023-08-10-09:57:21.1646,0.371601579788479,-0.534060213165133, 0.224480000187609, 0.725465839394586,
2023-08-10-09:57:22.1725,0.372018019533926,-0.534183831796585, 0.224615292249863, 0.725119436697626,
2023-08-10-09:57:23.1803,0.372434179820225,-0.534307383727526, 0.224750744740318, 0.724772725848976,
2023-08-10-09:57:24.1881,0.372850059413388,-0.534430869012090, 0.224886356971242, 0.724425707640624,
2023-08-10-09:57:25.1960,0.373265657093878,-0.534554287696640, 0.225022128270312, 0.724078382862044,
2023-08-10-09:57:26.2038,0.373680971634208,-0.534677639835334, 0.225158057950362, 0.723730752309623,
2023-08-10-09:57:27.2116,0.374096001807094,-0.534800925484480, 0.225294145320391, 0.723382816783233,
2023-08-10-09:57:28.2195,0.374510746395725,-0.534924144695407, 0.225430389699373, 0.723034577081894,
2023-08-10-09:57:29.2273,0.374925204175357,-0.535047297527281, 0.225566790391466, 0.722686034011529,
2023-08-10-09:57:30.2352,0.375339368546451,-0.535170402829258, 0.225703329171889, 0.722337182730785,
2023-08-10-09:57:31.2430,0.375753231725464,-0.535293505700304, 0.225839966929684, 0.721988006091616,
2023-08-10-09:57:32.2508,0.376166813779755,-0.535416545712128, 0.225976761688984, 0.721638520289099,
2023-08-10-09:57:33.2587,0.376580113475837,-0.535539522921120, 0.226113712763392, 0.721288726117565,
2023-08-10-09:57:34.2665,0.376993129586582,-0.535662437381490, 0.226250819470983, 0.720938624372245,
2023-08-10-09:57:35.2744,0.377405860887070,-0.535785289148173, 0.226388081128713, 0.720588215851021,
2023-08-10-09:57:36.2822,0.377818306154677,-0.535908078276784, 0.226525497052528, 0.720237501354380,
2023-08-10-09:57:37.2900,0.378230464164923,-0.536030804826542, 0.226663066551797, 0.719886481687171,
2023-08-10-09:57:38.2979,0.378642333707975,-0.536153468848693, 0.226800788951357, 0.719535157651615,
2023-08-10-09:57:39.3057,0.379053913561923,-0.536276070405290, 0.226938663555778, 0.719183530058613,
2023-08-10-09:57:40.3135,0.379465195955079,-0.536398633095278, 0.227076667721431, 0.718831592550593,
2023-08-10-09:57:41.3214,0.379876177756113,-0.536521187779637, 0.227214775873436, 0.718479331826405,
2023-08-10-09:57:42.3292,0.380286875493431,-0.536643683515479, 0.227353036951636, 0.718126761692704,
2023-08-10-09:57:43.3371,0.380697287932159,-0.536766120365153, 0.227491450264386, 0.717773882950507,
2023-08-10-09:57:44.3449,0.381107413845831,-0.536888498387352, 0.227630015127219, 0.717420696400863,
2023-08-10-09:57:45.3527,0.381517252020500,-0.537010817634209, 0.227768730868255, 0.717067202843101,
2023-08-10-09:57:46.3606,0.381926801232169,-0.537133078167251, 0.227907596798170, 0.716713403084399,
2023-08-10-09:57:47.3684,0.382336060263262,-0.537255280045772, 0.228046612232105, 0.716359297932795,
2023-08-10-09:57:47.3684,0.382336060263262,-0.537255280045772, 0.228046612232105, 0.716359297932795,
2023-08-10-09:57:48.3763,0.382745027898496,-0.537377423329767, 0.228185776484148, 0.716004888198933,
2023-08-10-09:57:49.3841,0.383153702922879,-0.537499508081363, 0.228325088864676, 0.715650174696909,
2023-08-10-09:57:50.3919,0.383562076694955,-0.537621561890723, 0.228464523005832, 0.715295149738449,
2023-08-10-09:57:51.3998,0.383970150143664,-0.537743602871805, 0.228604065483567, 0.714939803489417,
2023-08-10-09:57:52.4076,0.384377936539070,-0.537865588841604, 0.228743756832128, 0.714584147565818,
2023-08-10-09:57:53.4155,0.384785434661288,-0.537987519856898, 0.228883596376340, 0.714228182768350,
2023-08-10-09:57:54.4233,0.385192643286505,-0.538109395979544, 0.229023583431805, 0.713871909902989,
2023-08-10-09:57:55.4311,0.385599561195235,-0.538231217270604, 0.229163717315811, 0.713515329777465,
2023-08-10-09:57:56.4390,0.386006187168249,-0.538352983793272, 0.229303997341931, 0.713158443202998,
2023-08-10-09:57:57.4468,0.386412519994800,-0.538474695607000, 0.229444422830867, 0.712801250990784,
2023-08-10-09:57:58.4546,0.386818558464402,-0.538596352773382, 0.229584993099577, 0.712443753955497,
2023-08-10-09:57:59.4625,0.387224301354507,-0.538717955364982, 0.229725707445064, 0.712085952920539,
2023-08-10-09:58:00.4703,0.387629739481893,-0.538839534183807, 0.229866536500688, 0.711727839041691,
2023-08-10-09:58:01.4782,0.388034877187421,-0.538961096133742, 0.230007477543702, 0.711369405593494,
2023-08-10-09:58:02.4860,0.388439724825026,-0.539082607019003, 0.230148563455689, 0.711010662175144,
2023-08-10-09:58:03.4938,0.388844281165048,-0.539204066908485, 0.230289793545140, 0.710651609597505,
2023-08-10-09:58:04.5017,0.389248544990420,-0.539325475864341, 0.230431167133093, 0.710292248669675,
2023-08-10-09:58:05.5095,0.389652515084287,-0.539446833950872, 0.230572683536828, 0.709932580204272,
2023-08-10-09:58:06.5174,0.390056190232100,-0.539568141233032, 0.230714342072621, 0.709572605016532,
2023-08-10-09:58:07.5252,0.390459569221665,-0.539689397776413, 0.230856142055786, 0.709212323924284,
